course_code,facility_code,course_name,hol,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00029-01,USA-AL-00029,Castle Pines,18,72,Parkland,Mark Gallups,1962,Open,33,39,27,N/D,N/D,USD
USA-AL-00030-01,USA-AL-00030,Cedar Ridge,18,72,Parkland,Neal Holland,1975,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00031-01,USA-AL-00031,Cherokee,18,71,Parkland,N/D,1969,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00032-01,USA-AL-00032,Cherokee Ridge,18,72,Parkland,Sammy Dean,1989,Closed,59,59,39,N/D,N/D,USD
USA-AL-00033-01,USA-AL-00033,Chesley Oaks,18,71,Parkland,Steve Plummer,1996,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00034-01,USA-AL-00034,Choctaw,9,36,Parkland,N/D,1963,Closed,~,~,~,N/D,N/D,USD
USA-AL-00036-01,USA-AL-00036,Cider Ridge,18,72,Parkland,Bill Bergen,2002,Open,42,52,39,N/D,N/D,USD
USA-AL-00037-01,USA-AL-00037,Mill Creek,18,71,Parkland,N/D,1975,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00038-01,USA-AL-00038,Clanton,18,68,Parkland,N/D,1935,Open,15,19,20.8,N/D,N/D,USD
USA-AL-00039-01,USA-AL-00039,Clay County Public,9,35,Parkland,N/D,1962,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AL-00040-01,USA-AL-00040,Colonial,18,72,Parkland,Byron Nelson/Joe Finger,1979,Open,18,24,31,N/D,N/D,USD
USA-AL-00041-01,USA-AL-00041,Coosa Pines,18,72,Parkland,John LaFoy,1952,Closed,16,20,20,N/D,N/D,USD
USA-AL-00042-01,USA-AL-00042,Montgomery National,18,72,Parkland,Joe Finger/Byron Nelson,1975,Open,20,25,25,N/D,N/D,USD
USA-AL-00043-01,USA-AL-00043,East,18,70,Parkland,Donald Ross,1927,Closed,~,~,~,N/D,N/D,USD
USA-AL-00043-02,USA-AL-00043,West,18,71,Parkland,Donald Ross,1929,Closed,~,~,~,N/D,N/D,USD
USA-AL-00044-01,USA-AL-00044,Course of Brewton,18,72,Parkland,Jerry Pate,1997,Open,45,55,55,N/D,N/D,USD
USA-AL-00045-01,USA-AL-00045,Course of Tuscaloosa,18,72,Parkland,Arthur Davis,1920,Closed,30,30,30,N/D,N/D,USD
USA-AL-00046-01,USA-AL-00046,Cotton Creek,18,72,Parkland,Arnold Palmer/Ed Seay,1987,Open,69,69,69,N/D,N/D,USD
USA-AL-00046-02,USA-AL-00046,Cypress Bend,18,72,Parkland,Arnold Palmer/Ed Seay,1993,Open,69,69,69,N/D,N/D,USD
USA-AL-00047-01,USA-AL-00047,Cullman Municipal,18,72,Parkland,Kranet,1950,Open,30,35,29,N/D,N/D,USD
USA-AL-00048-01,USA-AL-00048,Cypress Lakes,18,71,Parkland,Gary Baird,1991,Open,40,49,49,N/D,N/D,USD
USA-AL-00049-01,USA-AL-00049,University,18,72,Parkland,N/D,1932,Closed,~,~,~,N/D,N/D,USD
USA-AL-00049-02,USA-AL-00049,River,18,71,Parkland,N/D,1932,Closed,~,~,~,N/D,N/D,USD
USA-AL-00050-01,USA-AL-00050,Decatur,18,71,Parkland,Gary Baird,1943,Closed,~,~,~,N/D,N/D,USD
USA-AL-00052-01,USA-AL-00052,Deerfield,18,72,Parkland,N/D,1993,Open,20,25,25,N/D,N/D,USD
USA-AL-00053-01,USA-AL-00053,Demopolis,18,72,Parkland,N/D,1958,Closed,~,~,~,N/D,N/D,USD
USA-AL-00054-01,USA-AL-00054,DeSoto,9,36,Parkland,N/D,1974,Open,9,9,9,N/D,N/D,USD
USA-AL-00055-01,USA-AL-00055,Dogwood Hills,9,36,Parkland,Bryce Slater,1937,Open,23,25,25,N/D,N/D,USD
USA-AL-00056-01,USA-AL-00056,Dogwood Hills & Gardens,18,72,Parkland,Hugh Bryce Slater,1977,Open,30,40,40,N/D,N/D,USD
USA-AL-00057-01,USA-AL-00057,Dothan,18,71,Parkland,Hugh Moore,1960,Closed,~,~,~,N/D,N/D,USD
USA-AL-00058-01,USA-AL-00058,Dothan National,18,72,Parkland,Bob Simmons,1968,Closed,30,30,30,N/D,N/D,USD
USA-AL-00059-01,USA-AL-00059,Eagle Point,18,71,Parkland,Earl Stone,1990,Open,33,43,43,N/D,N/D,USD
