tee_id,course_code,tee_name,tee_color,course_par_for_tee,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap,rating,slope,,,
CAN-AL-0001-02-07,CAN-AL-0001-02,Red (L),Red,36,274,248,364,134,276,316,264,98,278,~,~,~,~,~,~,~,~,~,2252,4,4,5,3,4,5,4,3,4,~,~,~,~,~,~,~,~,~,9,11,1,15,7,5,13,17,3,~,~,~,~,~,~,~,~,~,32.0,114,,,
GBR-ABD-0032-01-01,GBR-ABD-0032-01,White,White,69,274,375,169,335,405,156,282,309,402,274,288,191,509,373,302,153,293,393,5483,4,4,3,4,4,3,4,4,4,4,4,3,5,4,4,3,4,4,13,6,10,9,1,11,15,12,2,17,16,8,7,3,18,5,14,4,66,N/D,,,
GBR-ABD-0032-01-02,GBR-ABD-0032-01,Yellow,Yellow,67,261,359,158,325,382,130,272,296,308,264,222,173,502,323,247,145,284,384,5035,4,4,3,4,4,3,4,4,4,4,3,3,5,4,3,3,4,4,13,6,10,9,1,11,15,12,2,17,16,8,7,3,18,5,14,4,64,N/D,,,
GBR-ABD-0032-01-03,GBR-ABD-0032-01,Red,Red,70,271,370,165,329,405,152,277,287,388,266,283,114,364,369,294,76,287,325,5022,4,4,3,4,5,3,4,4,4,4,4,3,5,4,4,3,4,4,14,3,11,5,9,15,7,17,2,12,4,18,8,1,10,16,13,6,70,N/D,,,
IRL-COR-0005-01-01,IRL-COR-0005-01,White,White,71,397,163,354,434,162,352,386,598,504,375,404,373,162,263,444,312,384,445,6512,4,3,4,4,3,4,4,5,5,4,4,4,3,4,4,4,4,4,12,16,6,2,14,10,8,4,18,9,5,11,13,17,1,15,7,3,71,N/D,,,
MAR-MA-0004-01-01,MAR-MA-0004-01,Blanc,White,72,360,331,376,187,494,320,444,313,166,315,335,356,387,504,169,425,317,122,5921,4,4,4,3,5,4,5,4,3,4,4,4,4,5,3,5,4,3,1,15,3,5,13,17,11,7,9,12,10,4,2,8,6,16,14,18,70.4,124,,,
MAR-MA-0004-01-02,MAR-MA-0004-01,Jaune,Yellow,72,317,310,325,174,470,297,423,287,153,294,290,333,334,470,145,407,300,110,5439,4,4,4,3,5,4,5,4,3,4,4,4,4,5,3,5,4,3,1,15,3,5,13,17,11,7,9,12,10,4,2,8,6,16,14,18,67.4,119,,,
MAR-MA-0004-01-03,MAR-MA-0004-01,Bleu,Blue,72,303,295,303,145,415,258,408,272,139,266,266,299,304,435,130,387,281,100,5006,4,4,4,3,5,4,5,4,3,4,4,4,4,5,3,5,4,3,1,15,3,5,13,17,11,7,9,12,10,4,2,8,6,16,14,18,69.5,121,,,
MAR-MA-0004-01-04,MAR-MA-0004-01,Rouge,Red,72,285,270,286,121,372,247,388,252,130,239,254,277,277,409,115,372,271,90,4655,4,4,4,3,5,4,5,4,3,4,4,4,4,5,3,5,4,3,1,15,3,5,13,17,11,7,9,12,10,4,2,8,6,16,14,18,69.5,121,,,
MAR-MA-0004-02-01,MAR-MA-0004-02,Bassin,White,36,340,388,145,481,400,198,490,350,280,~,~,~,~,~,~,~,~,~,3072,4,4,3,5,4,3,5,4,4,~,~,~,~,~,~,~,~,~,9,4,7,5,1,2,3,6,8,~,~,~,~,~,~,~,~,~,34.4,60,,,
MAR-MA-0004-02-02,MAR-MA-0004-02,Jaune,Yellow,36,335,378,135,462,385,168,475,335,275,~,~,~,~,~,~,~,~,~,2948,4,4,3,5,4,3,5,4,4,~,~,~,~,~,~,~,~,~,9,4,7,5,1,2,3,6,8,~,~,~,~,~,~,~,~,~,33.7,59,,,
MAR-MA-0004-02-03,MAR-MA-0004-02,Bleu,Blue,36,325,368,125,450,370,144,446,320,265,~,~,~,~,~,~,~,~,~,2813,4,4,3,5,4,3,5,4,4,~,~,~,~,~,~,~,~,~,9,4,7,5,1,2,3,6,8,~,~,~,~,~,~,~,~,~,34.6,59,,,
MAR-MA-0004-02-04,MAR-MA-0004-02,Rouge,Red,36,290,323,110,405,331,130,375,284,245,~,~,~,~,~,~,~,~,~,2493,4,4,3,5,4,3,5,4,4,~,~,~,~,~,~,~,~,~,9,4,7,5,1,2,3,6,8,~,~,~,~,~,~,~,~,~,33.9,56,,,
MEX-QR-0006-01-01,MEX-QR-0006-01,Boox,Black,72,554,151,463,438,428,389,116,554,416,200,360,451,532,452,155,521,386,458,7024,5,3,4,4,4,4,3,5,4,3,4,4,4,5,4,3,5,4,6,18,4,14,10,8,16,2,12,13,15,3,9,1,17,5,11,7,73.8,137,,,
MEX-QR-0006-01-02,MEX-QR-0006-01,Sak,Blue,72,532,142,439,406,414,360,110,521,384,171,333,426,503,415,144,485,352,425,6562,5,3,4,4,4,4,3,5,4,3,4,4,4,5,4,3,5,4,6,18,4,14,10,8,16,2,12,13,15,3,9,1,17,5,11,7,71.7,131,,,
MEX-QR-0006-01-03,MEX-QR-0006-01,Yaax,White,72,509,131,413,376,394,312,104,500,374,144,299,403,451,387,128,471,315,412,6123,5,3,4,4,4,4,3,5,4,3,4,4,4,5,4,3,5,4,6,18,4,14,10,8,16,2,12,13,15,3,9,1,17,5,11,7,69.5,123,,,
MEX-QR-0006-01-04,MEX-QR-0006-01,Chak,Red,72,438,93,344,309,315,244,77,443,326,102,229,339,386,335,98,402,254,344,5078,5,3,4,4,4,4,3,5,4,3,4,4,4,5,4,3,5,4,6,18,4,14,10,8,16,2,12,13,15,3,9,1,17,5,11,7,69.0,119,,,
